,Node,in_degree,out_degree,degree,closeness,betweeness,ntweets,nretweets,nfollowers,tweet_type,virality,degree_category,Hashtag,ttweets
6074,kangchungreborn,1,0,1,0.00022593764121102577,0.0,0.0,1.0,72,retweeter,0.0,5,#BoredApeYatch,1.0
6075,kaniycane,1,0,1,0.00022593764121102577,0.0,0.0,1.0,40,retweeter,0.0,5,#BoredApeYatch,1.0
6076,kanz8721,1,0,1,0.00022593764121102577,0.0,0.0,1.0,33,retweeter,0.0,5,#BoredApeYatch,1.0
6077,kanzhu09,1,0,1,0.00022593764121102577,0.0,0.0,1.0,45,retweeter,0.0,5,#BoredApeYatch,1.0
6078,kaokall72,1,0,1,0.00022593764121102577,0.0,0.0,1.0,26,retweeter,0.0,5,#BoredApeYatch,1.0
6079,katemwinters,1,0,1,0.00022593764121102577,0.0,0.0,1.0,0,retweeter,,5,#BoredApeYatch,1.0
6080,kikiyoujin87,1,0,1,0.00022593764121102577,0.0,0.0,1.0,1,retweeter,0.0,5,#BoredApeYatch,1.0
6081,kikiamWinner,1,0,1,0.00022593764121102577,0.0,0.0,1.0,116,retweeter,0.0,5,#BoredApeYatch,1.0
6082,kaptendonghyuck,1,0,1,0.00022593764121102577,0.0,0.0,1.0,1234,retweeter,0.0,5,#BoredApeYatch,1.0
6083,khshtaj,1,0,1,0.00022593764121102577,0.0,0.0,1.0,5,retweeter,0.0,5,#BoredApeYatch,1.0
6084,kara23161,1,0,1,0.00022593764121102577,0.0,0.0,1.0,0,retweeter,,5,#BoredApeYatch,1.0
6085,katalinavel,1,0,1,0.00022593764121102577,0.0,0.0,1.0,0,retweeter,,5,#BoredApeYatch,1.0
6086,karime1616,1,0,1,0.00022593764121102577,0.0,0.0,1.0,0,retweeter,,5,#BoredApeYatch,1.0
6087,kiabigwinz,1,0,1,0.00022593764121102577,0.0,0.0,1.0,113,retweeter,0.0,5,#BoredApeYatch,1.0
6088,kaskecil,1,0,1,0.00022593764121102577,0.0,0.0,1.0,74,retweeter,0.0,5,#BoredApeYatch,1.0
6089,kastanggel,1,0,1,0.00022593764121102577,0.0,0.0,1.0,367,retweeter,0.0,5,#BoredApeYatch,1.0
6090,kimjw98,1,0,1,0.00022593764121102577,0.0,0.0,1.0,0,retweeter,,5,#BoredApeYatch,1.0
6091,june75023,2,0,2,0.00045187528242205153,0.0,0.0,2.0,37,retweeter,0.0,5,#BoredApeYatch,2.0
6092,keisyaalibi,1,0,1,0.00022593764121102577,0.0,0.0,2.0,297,retweeter,0.0,5,#BoredApeYatch,2.0
6093,kathypa2tyyy,1,0,1,0.00022593764121102577,0.0,0.0,1.0,143,retweeter,0.0,5,#BoredApeYatch,1.0
6094,kihiu79,1,0,1,0.00022593764121102577,0.0,0.0,1.0,0,retweeter,,5,#BoredApeYatch,1.0
6095,keely_brook,1,0,1,0.00022593764121102577,0.0,0.0,1.0,14,retweeter,0.0,5,#BoredApeYatch,1.0
6096,kdtx00,1,0,1,0.00022593764121102577,0.0,0.0,1.0,0,retweeter,,5,#BoredApeYatch,1.0
6097,jxxvwookie,1,0,1,0.00022593764121102577,0.0,0.0,2.0,317,retweeter,0.0,5,#BoredApeYatch,2.0
6098,k192120011,1,0,1,0.00022593764121102577,0.0,0.0,1.0,2,retweeter,0.0,5,#BoredApeYatch,1.0
6099,kdsomatumal_,1,0,1,0.00022593764121102577,0.0,0.0,1.0,214,retweeter,0.0,5,#BoredApeYatch,1.0
6100,kc_snw,1,0,1,0.00022593764121102577,0.0,0.0,1.0,145,retweeter,0.0,5,#BoredApeYatch,1.0
6101,kaMizpahIn917,1,0,1,0.00022593764121102577,0.0,0.0,2.0,308,retweeter,0.0,5,#BoredApeYatch,2.0
6102,kaylin_neenee,1,0,1,0.00022593764121102577,0.0,0.0,1.0,0,retweeter,,5,#BoredApeYatch,1.0
